date,equity
2017-03-06,296925.245901
2017-03-07,295543.413745
2017-03-08,294357.874211
2017-03-09,293730.748483
2017-03-10,295301.704681
2017-03-13,296218.706984
2017-03-14,293692.337602
2017-03-15,296046.022492
2017-03-16,295528.668031
2017-03-17,294334.844513
2017-03-20,293704.905252
2017-03-21,285469.498533
2017-03-22,287142.613694
2017-03-23,287649.053989
2017-03-24,288598.622643
2017-03-27,287770.315423
2017-03-28,290648.050245
2017-03-29,291717.496705
2017-03-30,294200.478937
2017-03-31,292997.710356
2017-04-03,292516.023613
2017-04-04,292968.890025
2017-04-05,290263.744475
2017-04-06,292273.089101
2017-04-07,292696.059433
2017-04-10,291931.128866
2017-04-11,291598.336707
2017-04-12,288083.304602
2017-04-13,286061.836147
2017-04-17,288949.421825
2017-04-18,286482.081414
2017-04-19,287604.740347
2017-04-20,291017.002246
2017-04-21,289599.818503
2017-04-24,294587.326493
2017-04-25,295944.811153
2017-04-26,294079.116347
2017-04-27,294277.596246
2017-04-28,293214.499362
2017-05-01,294364.711970
2017-05-02,294652.697414
2017-05-03,295673.842091
2017-05-04,295901.443343
2017-05-05,296349.658274
2017-05-08,295765.804290
2017-05-09,296423.590095
2017-05-10,297437.031800
2017-05-11,296187.976136
2017-05-12,294685.734723
2017-05-15,297313.463764
2017-05-16,298422.204942
2017-05-17,287271.782466
2017-05-18,289739.946108
2017-05-19,293456.501787
2017-05-22,295510.667200
2017-05-23,297578.208585
2017-05-24,297633.559181
2017-05-25,301765.352886
2017-05-26,300870.763819
2017-05-30,300017.521408
2017-05-31,298614.789143
2017-06-01,301127.357429
2017-06-02,301765.360065
2017-06-05,300541.119346
2017-06-06,300025.156956
2017-06-07,302034.754071
2017-06-08,304554.939823
2017-06-09,301607.292272
2017-06-12,300331.449148
2017-06-13,302032.430365
2017-06-14,300638.655307
2017-06-15,299497.282549
2017-06-16,298769.006078
2017-06-19,302873.691037
2017-06-20,300730.681336
2017-06-21,302325.916179
2017-06-22,301929.840571
2017-06-23,302062.781745
2017-06-26,302049.571411
2017-06-27,299430.961917
2017-06-28,303163.566094
2017-06-29,301003.255099
2017-06-30,299938.558742
2017-07-03,300061.637306
2017-07-05,304320.934253
2017-07-06,302493.412860
2017-07-07,306138.719495
2017-07-10,307265.648890
2017-07-11,308168.071156
2017-07-12,310565.559281
2017-07-13,310420.995452
2017-07-14,311891.977936
2017-07-17,311846.214469
2017-07-18,313376.501876
2017-07-19,314089.165984
2017-07-20,313706.205997
2017-07-21,313368.470630
2017-07-24,314775.250537
2017-07-25,313681.063503
2017-07-26,315908.088054
2017-07-27,312699.864407
2017-07-28,311474.982446
2017-07-31,309294.579312
2017-08-01,309324.008614
2017-08-02,307713.952071
2017-08-03,307389.742201
2017-08-04,308781.972231
2017-08-07,310867.384546
2017-08-08,309582.681165
2017-08-09,308166.649263
2017-08-10,301241.352572
2017-08-11,303048.946352
2017-08-14,307478.333690
2017-08-15,308131.371360
2017-08-16,308961.027672
2017-08-17,302696.713602
2017-08-18,303027.948221
2017-08-21,302149.835091
2017-08-22,307277.122794
2017-08-23,305796.243636
2017-08-24,305213.182306
2017-08-25,305224.531620
2017-08-28,305493.468343
2017-08-29,304610.176063
2017-08-30,308128.901618
2017-08-31,308826.622219
2017-09-01,309967.336560
2017-09-05,306799.530608
2017-09-06,307722.351626
2017-09-07,307956.061612
2017-09-08,307642.202005
2017-09-11,311015.046846
2017-09-12,312251.351135
2017-09-13,312478.809902
2017-09-14,311608.797334
2017-09-15,311905.339933
2017-09-18,314357.007684
2017-09-19,314725.019524
2017-09-20,314447.325922
2017-09-21,313834.957277
2017-09-22,314201.643654
2017-09-25,310596.014994
2017-09-26,310876.988973
2017-09-27,315906.975588
2017-09-28,317048.288561
2017-09-29,319641.086929
2017-10-02,319951.972776
2017-10-03,320672.605921
2017-10-04,322089.686591
2017-10-05,323645.348332
2017-10-06,324672.940052
2017-10-09,325174.686128
2017-10-10,325007.644606
2017-10-11,326811.362514
2017-10-12,327080.945120
2017-10-13,327511.619460
2017-10-16,327957.710295
2017-10-17,326866.619220
2017-10-18,326739.761347
2017-10-19,327893.678814
2017-10-20,330571.033417
2017-10-23,329818.341797
2017-10-24,330209.877806
2017-10-25,327951.335043
2017-10-26,328738.409823
2017-10-27,333443.113550
2017-10-30,333677.287706
2017-10-31,336546.825864
2017-11-01,334454.826160
2017-11-02,335629.776646
2017-11-03,337715.892314
2017-11-06,338009.656681
2017-11-07,338955.624900
2017-11-08,340024.556282
2017-11-09,337576.032934
2017-11-10,337584.427346
2017-11-13,340184.232052
2017-11-14,340174.848264
2017-11-15,338015.277809
2017-11-16,342206.043270
2017-11-17,341316.016564
2017-11-20,342985.911985
2017-11-21,346010.337962
2017-11-22,345475.807964
2017-11-24,347054.359491
2017-11-27,346397.046931
2017-11-28,348289.042665
2017-11-29,340404.202436
2017-11-30,343507.493820
2017-12-01,341179.012681
2017-12-04,334683.496097
2017-12-05,335362.338578
2017-12-06,336390.231291
2017-12-07,339866.638306
2017-12-08,341046.918252
2017-12-11,341139.600816
2017-12-12,339811.132430
2017-12-13,340461.344251
2017-12-14,339561.454484
2017-12-15,342216.609090
2017-12-18,344426.324969
2017-12-19,343789.573909
2017-12-20,344598.607553
2017-12-21,342553.457597
2017-12-22,343017.540748
2017-12-26,342248.853257
2017-12-27,343316.918377
2017-12-28,344159.196298
2017-12-29,342222.452063
2018-01-02,345716.924438
2018-01-03,350045.538910
2018-01-04,350871.950308
2018-01-05,354043.872525
2018-01-08,356953.446509
2018-01-09,357564.843470
2018-01-10,356127.981846
2018-01-11,358355.707597
2018-01-12,360878.653981
2018-01-16,360192.184090
2018-01-17,366416.559350
2018-01-18,365706.834847
2018-01-19,368384.759713
2018-01-22,372052.179922
2018-01-23,375545.517530
2018-01-24,374918.704039
2018-01-25,375664.923805
2018-01-26,379339.163078
2018-01-29,374062.234960
2018-01-30,370148.644710
2018-01-31,370116.673944
2018-02-01,368185.174475
2018-02-02,360143.362183
2018-02-05,348016.010915
2018-02-06,354387.916325
2018-02-07,353395.737414
2018-02-08,340263.698718
2018-02-09,344492.215038
2018-02-12,348917.452531
2018-02-13,350802.192897
2018-02-14,357440.810491
2018-02-15,360456.406659
2018-02-16,360889.726420
2018-02-20,359297.140396
2018-02-21,357690.975443
2018-02-22,359142.705789
2018-02-23,365041.510407
2018-02-26,367492.656524
2018-02-27,363831.401381
2018-02-28,360809.682357
2018-03-01,357767.652147
2018-03-02,360250.005248
2018-03-05,365790.797701
2018-03-06,369212.416159
2018-03-07,368049.964710
2018-03-08,370038.367427
2018-03-09,377108.547503
2018-03-12,376143.384746
2018-03-13,374664.282019
2018-03-14,374167.872019
2018-03-15,372554.878515
2018-03-16,374298.991498
2018-03-19,369982.053690
2018-03-20,373022.822987
2018-03-21,373469.921298
2018-03-22,362660.502425
2018-03-23,355218.864606
2018-03-26,364683.918429
2018-03-27,356762.216330
2018-03-28,353248.861615
2018-03-29,360427.772594
2018-04-02,351773.281680
2018-04-03,355641.364091
2018-04-04,359185.895873
2018-04-05,362990.806833
2018-04-06,354325.318367
2018-04-09,356052.084551
2018-04-10,364293.437211
2018-04-11,362424.583783
2018-04-12,366140.595843
2018-04-13,363956.045745
2018-04-16,367411.108956
2018-04-17,373809.794954
2018-04-18,377221.782064
2018-04-19,374241.630292
2018-04-20,369876.934674
2018-04-23,368811.658952
2018-04-24,360235.129297
2018-04-25,361229.870917
2018-04-26,366274.153178
2018-04-27,365489.920235
2018-04-30,363043.136460
2018-05-01,363266.048611
2018-05-02,360346.062069
2018-05-03,362682.600237
2018-05-04,366715.040027
2018-05-07,369511.676364
2018-05-08,370538.075422
2018-05-09,376556.167141
2018-05-10,380582.258256
2018-05-11,381172.222294
2018-05-14,381612.818513
2018-05-15,380552.392835
2018-05-16,383117.483135
2018-05-17,384767.161714
2018-05-18,384746.556012
2018-05-21,388513.463631
2018-05-22,387244.459854
2018-05-23,390106.392877
2018-05-24,392404.810712
2018-05-25,389898.268884
2018-05-29,387888.446508
2018-05-30,393120.629345
2018-05-31,388836.689794
2018-06-01,392746.643107
2018-06-04,394558.519158
2018-06-05,396029.039367
2018-06-06,397044.606193
2018-06-07,394650.313914
2018-06-08,396302.408454
2018-06-11,396703.488946
2018-06-12,397435.709103
2018-06-13,397177.967985
2018-06-14,399193.048829
2018-06-15,397327.062323
2018-06-18,398462.263471
2018-06-19,396436.133147
2018-06-20,396908.509503
2018-06-21,392884.463651
2018-06-22,391137.402268
2018-06-25,381741.024009
2018-06-26,383861.463807
2018-06-27,379086.869281
2018-06-28,381868.663174
2018-06-29,382806.238412
2018-07-02,382905.059301
2018-07-03,380944.948738
2018-07-05,383274.608798
2018-07-06,385700.284271
2018-07-09,390496.602956
2018-07-10,392197.333138
2018-07-11,387712.753538
2018-07-12,391995.878209
2018-07-13,392728.563538
2018-07-16,391625.458830
2018-07-17,393024.793096
2018-07-18,394915.966870
2018-07-19,392609.033619
2018-07-20,391752.745824
2018-07-23,391927.678038
2018-07-24,391330.311723
2018-07-25,396569.518475
2018-07-26,397635.442881
2018-07-27,392711.962896
2018-07-30,387739.161601
2018-07-31,390456.569351
2018-08-01,387546.587040
2018-08-02,393876.461182
2018-08-03,392966.003261
2018-08-06,396520.789609
2018-08-07,400202.690999
2018-08-08,401477.676582
2018-08-09,401108.490094
2018-08-10,399806.773780
2018-08-13,397547.893444
2018-08-14,401626.348749
2018-08-15,396645.428450
2018-08-16,397085.969019
2018-08-17,398709.184342
2018-08-20,402018.311203
2018-08-21,403843.934592
2018-08-22,405612.892294
2018-08-23,406997.659918
2018-08-24,409794.533885
2018-08-27,411250.864800
2018-08-28,411612.104818
2018-08-29,413715.117604
2018-08-30,412153.437767
2018-08-31,413070.359943
2018-09-04,412698.821228
2018-09-05,408515.458724
2018-09-06,407701.291295
2018-09-07,406440.564693
2018-09-10,408652.699851
2018-09-11,410293.808355
2018-09-12,412839.594491
2018-09-13,411010.233691
2018-09-14,412571.192601
2018-09-17,409066.113573
2018-09-18,412487.233782
2018-09-19,407732.711445
2018-09-20,409454.090189
2018-09-21,409803.436258
2018-09-24,412206.287588
2018-09-25,413963.185542
2018-09-26,413119.881057
2018-09-27,413555.404775
2018-09-28,412909.006949
2018-10-01,414430.098187
2018-10-02,409051.984223
2018-10-03,410679.883508
2018-10-04,405355.515955
2018-10-05,403513.922874
2018-10-08,399899.475432
2018-10-09,399959.582920
2018-10-10,383271.921459
2018-10-11,378419.649868
2018-10-12,386388.250872
2018-10-15,383627.131434
2018-10-16,392281.058762
2018-10-17,391227.703138
2018-10-18,386034.780728
2018-10-19,379594.219757
2018-10-22,382330.625610
2018-10-23,377404.839713
2018-10-24,362461.298516
2018-10-25,367235.566950
2018-10-26,360150.001915
2018-10-29,358112.195233
2018-10-30,365600.226113
2018-10-31,369597.211162
2018-11-01,374707.920730
2018-11-02,373978.516709
2018-11-05,373147.270047
2018-11-06,373759.443089
2018-11-07,386426.447095
2018-11-08,385911.040919
2018-11-09,381573.642423
2018-11-12,370692.243096
2018-11-13,370522.533861
2018-11-14,369070.985538
2018-11-15,371636.788978
2018-11-16,372244.186124
2018-11-19,357478.775153
2018-11-20,351901.065321
2018-11-21,355991.801878
2018-11-23,355326.074506
2018-11-26,362186.034462
2018-11-27,363137.116396
2018-11-28,376189.090989
2018-11-29,375275.499860
2018-11-30,376627.670035
2018-12-03,383744.918432
2018-12-04,374893.252002
2018-12-06,375700.965780
2018-12-07,365784.900168
2018-12-10,369079.496448
2018-12-11,369307.542526
2018-12-12,372278.561214
2018-12-13,371640.865383
2018-12-14,365368.945662
2018-12-17,356176.494519
2018-12-18,357282.341169
2018-12-19,353018.094548
2018-12-20,347346.563703
2018-12-21,341761.114063
2018-12-24,333666.706251
2018-12-26,348332.489611
2018-12-27,351174.763571
2018-12-28,351207.069719
2018-12-31,355181.917032
2019-01-02,352353.559628
2019-01-03,347627.676261
2019-01-04,354953.380406
2019-01-07,358972.549750
2019-01-08,363051.336814
2019-01-09,363865.121084
2019-01-10,366467.616217
2019-01-11,367176.408205
2019-01-14,365161.069953
2019-01-15,370197.730180
2019-01-16,370351.577648
2019-01-17,372141.686521
2019-01-18,374010.045620
2019-01-22,370966.831217
2019-01-23,371974.615818
2019-01-24,370365.790154
2019-01-25,372402.143715
2019-01-28,370558.271535
2019-01-29,370536.905955
2019-01-30,375856.079675
2019-01-31,379365.555192
2019-02-01,380287.935347
2019-02-04,382491.573971
2019-02-05,382067.389862
2019-02-06,382786.241180
2019-02-07,383740.459188
2019-02-08,385501.404405
2019-02-11,386551.622420
2019-02-12,389275.104928
2019-02-13,389645.232051
2019-02-14,390262.655571
2019-02-15,392697.131299
2019-02-19,392832.533033
2019-02-20,393037.396587
2019-02-21,394029.970868
2019-02-22,397047.123726
2019-02-25,395053.847295
2019-02-26,394918.456112
2019-02-27,394024.051679
2019-02-28,395509.741411
2019-03-01,396314.131417
2019-03-04,393819.531119
2019-03-05,394869.601500
2019-03-06,391262.944329
2019-03-07,389832.381158
2019-03-08,388520.030407
2019-03-11,392483.789933
2019-03-12,394543.603635
2019-03-13,396323.798927
2019-03-14,396350.405408
2019-03-15,396794.006692
2019-03-18,396729.376075
2019-03-19,398139.637595
2019-03-20,398239.928147
2019-03-21,405066.109881
2019-03-22,400242.117124
2019-03-25,401918.338353
2019-03-26,404285.035541
2019-03-27,401990.526554
2019-03-28,404353.018636
2019-03-29,406336.437377
2019-04-01,406914.556630
2019-04-02,407691.023258
2019-04-03,409107.611295
2019-04-04,407315.089109
2019-04-05,409294.415084
2019-04-08,409130.522483
2019-04-09,407726.094320
2019-04-10,410441.852231
2019-04-11,409773.668771
2019-04-12,410006.814123
2019-04-15,409612.460611
2019-04-16,404731.547137
2019-04-17,399195.496067
2019-04-18,400316.976385
2019-04-22,399608.486869
2019-04-23,403462.899598
2019-04-24,404663.582204
2019-04-25,403664.210405
2019-04-26,406289.886360
2019-04-29,404397.464603
2019-04-30,405678.580060
2019-05-01,400163.758567
2019-05-02,403065.870977
2019-05-03,403408.619728
2019-05-06,401602.278141
2019-05-07,395462.062999
2019-05-08,395604.069036
2019-05-09,395152.704620
2019-05-10,397414.189378
2019-05-13,390391.650579
2019-05-14,393467.642724
2019-05-15,395026.424971
2019-05-16,398448.480214
2019-05-17,395864.568283
2019-05-20,391845.792504
2019-05-21,395341.585467
2019-05-22,396323.851603
2019-05-23,392823.505316
2019-05-24,392940.538649
2019-05-28,391742.480436
2019-05-29,388456.026660
2019-05-30,392505.099377
2019-05-31,389977.871223
2019-06-03,389618.401077
2019-06-04,397281.131832
2019-06-05,403199.664971
2019-06-06,407712.342566
2019-06-07,411031.446591
2019-06-10,412330.282666
2019-06-11,412266.876622
2019-06-12,413342.326946
2019-06-13,413195.555094
2019-06-14,411922.814056
2019-06-17,409537.134303
2019-06-18,412332.694112
2019-06-19,415433.143673
2019-06-20,418529.145742
2019-06-21,414760.281881
2019-06-24,414726.137650
2019-06-25,411170.082761
2019-06-26,409026.915185
2019-06-27,411883.370272
2019-06-28,414046.370749
2019-07-01,417357.714937
2019-07-02,420574.329696
2019-07-03,425238.612723
2019-07-05,423875.832659
2019-07-08,423023.051905
2019-07-09,422359.219183
2019-07-10,423663.779156
2019-07-11,423006.674935
2019-07-12,424733.362153
2019-07-15,425564.105454
2019-07-16,424751.726526
2019-07-17,423568.001150
2019-07-18,426323.129394
2019-07-19,422267.680042
2019-07-22,423084.664593
2019-07-23,423745.647673
2019-07-24,423913.877729
2019-07-25,423876.135235
2019-07-26,426212.862409
2019-07-29,425891.960309
2019-07-30,426223.991044
2019-07-31,421879.473636
2019-08-01,420215.130791
2019-08-02,418334.819907
2019-08-05,411287.028357
2019-08-06,418720.035315
2019-08-07,421873.133093
2019-08-08,428961.628258
2019-08-09,428178.585595
2019-08-12,425534.584985
2019-08-13,428308.652897
